"Statistic Label","Type of Accommodation Used","Reason for Journey","Quarter","UNIT","VALUE"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2012Q3","Thousand","1095"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2012Q4","Thousand","335"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2013Q1","Thousand","195"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2013Q2","Thousand","785"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2013Q3","Thousand","1631"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2013Q4","Thousand","385"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2014Q1","Thousand","204"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2014Q2","Thousand","1018"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2014Q3","Thousand","1785"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2014Q4","Thousand","439"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2015Q1","Thousand","277"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2015Q2","Thousand","1359"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2015Q3","Thousand","2349"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2015Q4","Thousand","659"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2016Q1","Thousand","446"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2016Q2","Thousand","1602"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2016Q3","Thousand","2723"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2016Q4","Thousand","778"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2017Q1","Thousand","474"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2017Q2","Thousand","1883"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2017Q3","Thousand","2731"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2017Q4","Thousand","1012"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2018Q1","Thousand","711"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2018Q2","Thousand","2115"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2018Q3","Thousand","3065"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2018Q4","Thousand","1065"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2019Q1","Thousand","600"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2019Q2","Thousand","2061"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2019Q3","Thousand","2861"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2019Q4","Thousand","778"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2012Q1","Thousand","71"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2012Q2","Thousand","109"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2012Q3","Thousand","202"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2012Q4","Thousand","73"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2013Q1","Thousand","66"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2013Q2","Thousand","118"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2013Q3","Thousand","181"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2013Q4","Thousand","89"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2014Q1","Thousand","80"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2014Q2","Thousand","147"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2014Q3","Thousand","221"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2014Q4","Thousand","131"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2015Q1","Thousand","83"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2015Q2","Thousand","178"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2015Q3","Thousand","255"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2015Q4","Thousand","147"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2016Q1","Thousand","117"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2016Q2","Thousand","198"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2016Q3","Thousand","299"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2016Q4","Thousand","181"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2017Q1","Thousand","118"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2017Q2","Thousand","233"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2017Q3","Thousand","314"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2017Q4","Thousand","199"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2018Q1","Thousand","120"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2018Q2","Thousand","287"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2018Q3","Thousand","340"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2018Q4","Thousand","180"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2019Q1","Thousand","143"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2019Q2","Thousand","306"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2019Q3","Thousand","380"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2019Q4","Thousand","188"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2012Q1","Thousand","46"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2012Q2","Thousand","59"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2012Q3","Thousand","61"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2012Q4","Thousand","204"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2013Q1","Thousand","58"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2013Q2","Thousand","72"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2013Q3","Thousand","89"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2013Q4","Thousand","65"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2014Q1","Thousand","73"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2014Q2","Thousand","74"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2014Q3","Thousand","56"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2014Q4","Thousand","144"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2015Q1","Thousand","59"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2015Q2","Thousand","96"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2015Q3","Thousand","93"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2015Q4","Thousand","153"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2016Q1","Thousand","115"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2016Q2","Thousand","125"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2016Q3","Thousand","184"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2016Q4","Thousand","83"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2017Q1","Thousand","75"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2017Q2","Thousand","195"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2017Q3","Thousand","165"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2017Q4","Thousand","184"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2018Q1","Thousand","119"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2018Q2","Thousand","244"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2018Q3","Thousand","227"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2018Q4","Thousand","146"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2019Q1","Thousand","117"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2019Q2","Thousand","132"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2019Q3","Thousand","138"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2019Q4","Thousand","156"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2012Q1","Thousand","120"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2012Q2","Thousand","218"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2012Q3","Thousand","371"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2012Q4","Thousand","199"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2013Q1","Thousand","135"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2013Q2","Thousand","170"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2013Q3","Thousand","249"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2013Q4","Thousand","162"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2014Q1","Thousand","114"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2014Q2","Thousand","219"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2014Q3","Thousand","266"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2014Q4","Thousand","202"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2015Q1","Thousand","233"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2015Q2","Thousand","187"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2015Q3","Thousand","342"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2015Q4","Thousand","258"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2016Q1","Thousand","120"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2016Q2","Thousand","303"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2016Q3","Thousand","395"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2016Q4","Thousand","184"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2017Q1","Thousand","165"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2017Q2","Thousand","207"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2017Q3","Thousand","345"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2017Q4","Thousand","294"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2018Q1","Thousand","232"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2018Q2","Thousand","231"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2018Q3","Thousand","289"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2018Q4","Thousand","206"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2019Q1","Thousand","119"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2019Q2","Thousand","362"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2019Q3","Thousand","281"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2019Q4","Thousand","306"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2012Q1","Thousand","1599"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2012Q2","Thousand","2560"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2012Q3","Thousand","4274"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2012Q4","Thousand","1877"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2013Q1","Thousand","1751"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2013Q2","Thousand","2758"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2013Q3","Thousand","4162"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2013Q4","Thousand","2321"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2014Q1","Thousand","1609"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2014Q2","Thousand","3044"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2014Q3","Thousand","4260"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2014Q4","Thousand","2138"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2015Q1","Thousand","2024"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2015Q2","Thousand","2967"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2015Q3","Thousand","4285"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2015Q4","Thousand","2624"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2016Q1","Thousand","2150"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2016Q2","Thousand","3025"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2016Q3","Thousand","4926"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2016Q4","Thousand","2315"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2017Q1","Thousand","2088"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2017Q2","Thousand","3241"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2017Q3","Thousand","4723"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2017Q4","Thousand","3030"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2018Q1","Thousand","2464"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2018Q2","Thousand","2916"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2018Q3","Thousand","4928"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2018Q4","Thousand","2711"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2019Q1","Thousand","2074"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2019Q2","Thousand","3389"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2019Q3","Thousand","4357"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2019Q4","Thousand","2749"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2012Q1","Thousand","462"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2012Q2","Thousand","1058"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2012Q3","Thousand","1637"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2012Q4","Thousand","492"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2013Q1","Thousand","546"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2013Q2","Thousand","899"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2013Q3","Thousand","1878"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2013Q4","Thousand","811"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2014Q1","Thousand","498"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2014Q2","Thousand","1058"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2014Q3","Thousand","2125"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2014Q4","Thousand","609"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2015Q1","Thousand","595"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2015Q2","Thousand","1426"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2015Q3","Thousand","1974"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2015Q4","Thousand","817"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2016Q1","Thousand","618"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2016Q2","Thousand","1424"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2016Q3","Thousand","2271"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2016Q4","Thousand","713"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2017Q1","Thousand","608"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2017Q2","Thousand","1552"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2017Q3","Thousand","2417"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2017Q4","Thousand","961"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2018Q1","Thousand","856"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2018Q2","Thousand","1441"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2018Q3","Thousand","2694"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2018Q4","Thousand","890"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2019Q1","Thousand","668"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2019Q2","Thousand","1443"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2019Q3","Thousand","2498"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2019Q4","Thousand","749"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2012Q1","Thousand","344"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2012Q2","Thousand","343"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2012Q3","Thousand","454"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2012Q4","Thousand","298"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2013Q1","Thousand","415"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2013Q2","Thousand","318"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2013Q3","Thousand","620"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2013Q4","Thousand","302"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2014Q1","Thousand","461"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2014Q2","Thousand","501"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2014Q3","Thousand","719"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2014Q4","Thousand","378"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2015Q1","Thousand","425"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2015Q2","Thousand","396"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2015Q3","Thousand","693"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2015Q4","Thousand","445"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2016Q1","Thousand","437"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2016Q2","Thousand","428"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2016Q3","Thousand","829"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2016Q4","Thousand","504"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2017Q1","Thousand","560"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2017Q2","Thousand","442"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2017Q3","Thousand","733"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2017Q4","Thousand","497"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2018Q1","Thousand","431"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2018Q2","Thousand","519"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2018Q3","Thousand","827"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2018Q4","Thousand","419"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2019Q1","Thousand","543"
