"Statistic Label","Type of Accommodation Used","Reason for Journey","Quarter","UNIT","VALUE"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2013Q3","Thousand","5126"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2013Q4","Thousand","2751"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2014Q1","Thousand","2071"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2014Q2","Thousand","4141"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2014Q3","Thousand","5497"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2014Q4","Thousand","2998"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2015Q1","Thousand","2354"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2015Q2","Thousand","4997"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2015Q3","Thousand","6522"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2015Q4","Thousand","3501"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2016Q1","Thousand","2708"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2016Q2","Thousand","5391"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2016Q3","Thousand","6452"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2016Q4","Thousand","3971"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2017Q1","Thousand","2700"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2017Q2","Thousand","6058"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2017Q3","Thousand","6610"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2017Q4","Thousand","3814"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2018Q1","Thousand","3036"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2018Q2","Thousand","5589"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2018Q3","Thousand","7162"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2018Q4","Thousand","4273"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2019Q1","Thousand","3313"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2019Q2","Thousand","6246"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2019Q3","Thousand","7214"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2019Q4","Thousand","4116"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2012Q1","Thousand","819"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2012Q2","Thousand","2894"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2012Q3","Thousand","3956"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2012Q4","Thousand","1521"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2013Q1","Thousand","964"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2013Q2","Thousand","3188"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2013Q3","Thousand","3834"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2013Q4","Thousand","1393"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2014Q1","Thousand","1065"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2014Q2","Thousand","2758"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2014Q3","Thousand","4105"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2014Q4","Thousand","1674"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2015Q1","Thousand","1197"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2015Q2","Thousand","3490"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2015Q3","Thousand","5003"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2015Q4","Thousand","1986"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2016Q1","Thousand","1493"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2016Q2","Thousand","3713"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2016Q3","Thousand","4784"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2016Q4","Thousand","2380"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2017Q1","Thousand","1448"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2017Q2","Thousand","4141"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2017Q3","Thousand","4973"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2017Q4","Thousand","2291"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2018Q1","Thousand","1704"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2018Q2","Thousand","4055"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2018Q3","Thousand","5463"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2018Q4","Thousand","2922"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2019Q1","Thousand","1865"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2019Q2","Thousand","4568"
