"STATISTIC","Statistic Label","C02173V03830","Area of Residence","C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","UNIT","VALUE"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","3","Business","20174","2017Q4","%","14"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","3","Business","20181","2018Q1","%","12"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","3","Business","20182","2018Q2","%","10"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","3","Business","20183","2018Q3","%","9"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","3","Business","20184","2018Q4","%","9"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","3","Business","20191","2019Q1","%","6"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","3","Business","20192","2019Q2","%","8"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","3","Business","20193","2019Q3","%","11"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","3","Business","20194","2019Q4","%","11"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","4","Other reason for journey","20121","2012Q1","%","42"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","4","Other reason for journey","20122","2012Q2","%","50"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","4","Other reason for journey","20123","2012Q3","%","34"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","4","Other reason for journey","20124","2012Q4","%","26"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","4","Other reason for journey","20131","2013Q1","%","42"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","4","Other reason for journey","20132","2013Q2","%","60"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","4","Other reason for journey","20133","2013Q3","%","32"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","4","Other reason for journey","20134","2013Q4","%","36"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","4","Other reason for journey","20141","2014Q1","%","39"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","4","Other reason for journey","20142","2014Q2","%","44"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","4","Other reason for journey","20143","2014Q3","%","38"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","4","Other reason for journey","20144","2014Q4","%","39"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","4","Other reason for journey","20151","2015Q1","%","36"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","4","Other reason for journey","20152","2015Q2","%","47"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","4","Other reason for journey","20153","2015Q3","%","39"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","4","Other reason for journey","20154","2015Q4","%","36"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","4","Other reason for journey","20161","2016Q1","%","38"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","4","Other reason for journey","20162","2016Q2","%","52"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","4","Other reason for journey","20163","2016Q3","%","41"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","4","Other reason for journey","20164","2016Q4","%","43"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","4","Other reason for journey","20171","2017Q1","%","51"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","4","Other reason for journey","20172","2017Q2","%","48"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","4","Other reason for journey","20173","2017Q3","%","44"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","4","Other reason for journey","20174","2017Q4","%","45"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","4","Other reason for journey","20181","2018Q1","%","41"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","4","Other reason for journey","20182","2018Q2","%","49"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","4","Other reason for journey","20183","2018Q3","%","41"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","4","Other reason for journey","20184","2018Q4","%","42"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","4","Other reason for journey","20191","2019Q1","%","44"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","4","Other reason for journey","20192","2019Q2","%","48"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","4","Other reason for journey","20193","2019Q3","%","44"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","4","Other reason for journey","20194","2019Q4","%","45"
