"STATISTIC","Statistic Label","C02164V02610","Type of Accommodation Used","AREARES","Area of Residence","TLIST(Q1)","Quarter","UNIT","VALUE"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","02","Other Europe","20192","2019Q2","Thousand","8896"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","02","Other Europe","20193","2019Q3","Thousand","9874"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","02","Other Europe","20194","2019Q4","Thousand","6487"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","03","USA and Canada","20121","2012Q1","Thousand","1161"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","03","USA and Canada","20122","2012Q2","Thousand","2618"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","03","USA and Canada","20123","2012Q3","Thousand","3069"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","03","USA and Canada","20124","2012Q4","Thousand","1840"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","03","USA and Canada","20131","2013Q1","Thousand","1239"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","03","USA and Canada","20132","2013Q2","Thousand","2788"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","03","USA and Canada","20133","2013Q3","Thousand","3445"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","03","USA and Canada","20134","2013Q4","Thousand","1972"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","03","USA and Canada","20141","2014Q1","Thousand","1315"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","03","USA and Canada","20142","2014Q2","Thousand","2752"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","03","USA and Canada","20143","2014Q3","Thousand","3849"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","03","USA and Canada","20144","2014Q4","Thousand","1918"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","03","USA and Canada","20151","2015Q1","Thousand","1339"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","03","USA and Canada","20152","2015Q2","Thousand","3612"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","03","USA and Canada","20153","2015Q3","Thousand","4266"
