"STATISTIC","Statistic Label","C02173V04143","Detailed Area of Residence","TLIST(A1)","Year","UNIT","VALUE"
"TMA23","Overseas Trips to Ireland","ZZAA9","Africa (10)","2015","2015","Thousand",""
"TMA23","Overseas Trips to Ireland","ZZAA9","Africa (10)","2016","2016","Thousand",""
"TMA23","Overseas Trips to Ireland","ZZAA9","Africa (10)","2017","2017","Thousand",""
"TMA23","Overseas Trips to Ireland","ZZAA9","Africa (10)","2018","2018","Thousand",""
"TMA23","Overseas Trips to Ireland","ZZAA9","Africa (10)","2019","2019","Thousand",""
"TMA23","Overseas Trips to Ireland","ZZABI","Asia","2010","2010","Thousand","111"
"TMA23","Overseas Trips to Ireland","ZZABI","Asia","2011","2011","Thousand","127.5"
"TMA23","Overseas Trips to Ireland","ZZABI","Asia","2012","2012","Thousand","133"
"TMA23","Overseas Trips to Ireland","ZZABI","Asia","2013","2013","Thousand","154"
"TMA23","Overseas Trips to Ireland","ZZABI","Asia","2014","2014","Thousand","174.7"
"TMA23","Overseas Trips to Ireland","ZZABI","Asia","2015","2015","Thousand","220"
"TMA23","Overseas Trips to Ireland","ZZABI","Asia","2016","2016","Thousand","230.9"
"TMA23","Overseas Trips to Ireland","ZZABI","Asia","2017","2017","Thousand","276.3"
"TMA23","Overseas Trips to Ireland","ZZABI","Asia","2018","2018","Thousand","280.6"
"TMA23","Overseas Trips to Ireland","ZZABI","Asia","2019","2019","Thousand","306.1"
"TMA23","Overseas Trips to Ireland","ZZAD015","Australia, New Zealand and Other Oceania","2010","2010","Thousand","135.3"
"TMA23","Overseas Trips to Ireland","ZZAD015","Australia, New Zealand and Other Oceania","2011","2011","Thousand","141.1"
"TMA23","Overseas Trips to Ireland","ZZAD015","Australia, New Zealand and Other Oceania","2012","2012","Thousand","155.7"
"TMA23","Overseas Trips to Ireland","ZZAD015","Australia, New Zealand and Other Oceania","2013","2013","Thousand","187.7"
"TMA23","Overseas Trips to Ireland","ZZAD015","Australia, New Zealand and Other Oceania","2014","2014","Thousand","190"
"TMA23","Overseas Trips to Ireland","ZZAD015","Australia, New Zealand and Other Oceania","2015","2015","Thousand","207.6"
"TMA23","Overseas Trips to Ireland","ZZAD015","Australia, New Zealand and Other Oceania","2016","2016","Thousand","204.5"
"TMA23","Overseas Trips to Ireland","ZZAD015","Australia, New Zealand and Other Oceania","2017","2017","Thousand","208.5"
"TMA23","Overseas Trips to Ireland","ZZAD015","Australia, New Zealand and Other Oceania","2018","2018","Thousand","228.5"
